,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,9251-8113,,명동베스트공인중개사사무소,서울특별시 중구 명동9길 45 4층(을지로2가),박향만,-,2011.08.31,3,,,공인중개사,유,-
1,공92220000-991,,명동신세계공인중개사사무소,서울특별시 중구 명동9길 23 한양빌딩 501호,김기온,02-777-4466,2006.01.19,3,,,공인중개사,유,-
2,공92220000-2308,http://www.nsdi.go.kr/lxportal/zcms/nsdi/land/klisapiBrokerPhoto.html?sggCd=11140&photoNo=3169,명동에버랜드공인중개사사무소,"서울특별시 중구 명동7길 21 716호(을지로2가,명동아르누보센터)",공윤석,-,2014.04.18,3,,,공인중개사,유,-
3,11140-2017-00033,,명동하나공인중개사사무소,"서울특별시 중구 명동7길 21 309호(을지로2가,명동아르누보센텀)",우병문,-,2017.03.28,3,,,공인중개사,유,-
4,나92220000-524,,명보부동산중개인사무소,서울특별시 중구 명동13길 27 2층,김종민,02-2265-6825,1996.10.07,3,,,중개인,유,-
5,11140-2015-00060,,부동산플러스공인중개사사무소,서울특별시 중구 명동7길 23 3층(을지로2가),도민숙,"02-777-4778, 02-777-8774, 02-777-7487",2015.07.23,3,,,공인중개사,유,-
6,가92220000-247,,서울부동산중개인사무소,서울특별시 중구 을지로 97,윤풍안,02-2274-1302,1984.11.20,3,,,중개인,유,-
7,공92220000-226,,성심부동산컨설팅공인중개사사무소,서울특별시 중구 명동7길 19 5층(황해빌딩),성석진,-,1988.10.19,3,,,공인중개사,유,-
8,11560-2015-00030,,주식회사 젠스타프로퍼티 부동산중개,"서울특별시 중구 을지로5길 16 801호 일부(을지로2가, 삼화타워)",오형근,02-2003-8012,2014.07.29,3,,,법인,유,-
9,가92220000-232,,한성부동산중개사무소,서울특별시 중구 을지로 99-1 미광빌딩 302호,조찬석,02-2278-9972,1984.11.08,3,,,중개인,유,-
