,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,11140-2017-00004,,OK공인중개사사무소,서울특별시 중구 퇴계로75길 27 1층일부(흥인동),김상우,-,2017.01.12,3,,,공인중개사,유,-
1,공92220000-2236,,두산부동산공인중개사사무소,서울특별시 중구 퇴계로81길 7-11,최종민,-,2013.04.22,3,,,공인중개사,유,-
2,11140-2018-00042,,두산제니스공인중개사사무소,서울특별시 중구 다산로46길 17 132호(흥인동),김도연,02-2232-5955,2018.04.30,3,,,공인중개사,유,-
3,11400-2015-00003,,롯데공인중개사사무소,"서울특별시 중구 다산로46길 17 111호(흥인동, 청계천 두산위브더제니스)",권태홍,02-2232-5656,2015.01.06,3,,,공인중개사,유,-
4,11140-2019-00026,,명신공인중개사사무소,서울특별시 중구 퇴계로81길 7-4 2층 제12호,강민정,-,2019.04.04,3,,,공인중개사,유,-
5,가92220000-862,,삼성부동산중개인사무소,서울특별시 중구 다산로47길 11 동화빌딩 4층401호,박재원,02-2253-8555,1988.10.19,3,,,중개인,유,-
6,11140-2017-00007,,솔하임맥공인중개사사무소,"서울특별시 중구 마장로 58 1층 102호(흥인동, 동대문솔하임)",김재희,02-766-8988,2017.01.18,3,,,공인중개사,유,-
7,11140-2016-00041,,신당역공인중개사사무소,서울특별시 중구 퇴계로 399,이수환,-,2016.04.25,3,,,공인중개사,유,-
8,11140-2017-00055,,신당역플러스공인중개사사무소,서울특별시 중구 퇴계로 399 1층(흥인동),윤진희,-,2017.06.28,3,,,공인중개사,유,-
9,92270000-4046,,신우부동산공인중개사사무소,서울특별시 중구 퇴계로 403 1층(흥인동),박성호,"02-2252-8686, 02-2252-1472, 02-2254-3665",2014.01.23,3,,,공인중개사,유,-
10,공92220000-2369,,예쓰공인중개사사무소,서울특별시 중구 다산로47길 31 1층 일부(흥인동),임기옥,-,2014.12.04,3,,,공인중개사,유,-
11,11140-2018-00083,,와이즈캐슬공인중개사사무소,"서울특별시 중구 퇴계로75길 7 106호(흥인동, 동대문와이즈캐슬)",박지혜,02-2238-4989,2018.11.22,3,,,공인중개사,유,-
12,공92220000-2173,,우리공인중개사사무소,서울특별시 중구 퇴계로 413-1,김병호,-,2012.07.24,3,,,공인중개사,유,-
13,11140-2017-00096,,우일공인중개사사무소,"서울특별시 중구 다산로 274 1층182호(흥인동,우일타운)",한재의,-,2017.11.15,3,,,공인중개사,유,-
14,공92220000-1673,,일사천리공인중개사사무소,서울특별시 중구 퇴계로 407 1층(흥인동),임선화,02-2254-1472,2007.09.20,3,,,공인중개사,유,-
15,11140-2019-00011,,제니스신당역공인중개사사무소,서울특별시 중구 다산로46길 17 지1층 비150호(두산위브더제니스),김수정,-,2019.02.15,3,,,공인중개사,유,-
16,11140-2015-00011,,청계두산위브공인중개사사무소,"서울특별시 중구 다산로46길 17 101호(흥인동, 청계천두산위브제니스)",김세란,02-2252-7900,2015.02.03,3,,,공인중개사,유,-
17,92260000-2401,,흥인부동산공인중개사사무소,서울특별시 중구 마장로 62 우일프라자 104호,김철호,02-2233-0090,2007.05.22,3,,,공인중개사,유,-
